config,hostSeconds_total,simSeconds_total,simInsts,cycles,IPC,CPI,L1I_accesses,L1I_misses,L1I_MPKI,L1D_accesses,L1D_misses,L1D_MPKI,L1_total_MPKI,L2_accesses,L2_misses,L2_MPKI,TLB_accesses,TLB_misses,TLB_miss_rate
out_timing,104.13,151.26483,53258688,151808168,0.3508,2.8504,130024908,2247200,42.1941,38756748,1286456,24.1546,66.3489,3994272,777578,14.6,84736422,42609,0.0005
out_o3,223.06,141.679932,44270087,93081844,0.4756,2.1026,15861564,2633676,59.4911,40555553,2547243,57.5387,117.0298,4447368,1045088,23.6071,30448900,167740,0.0055
out_kvm,60.62,151.128328,0,437945373,,,,,,,,,,,,,0,0,
